,Unnamed: 0,name,type,IMDb,originalName,foreignName,nickname,romanPinyin,notableWork,debutWork,activeTime,debutTime,birthPlace,deathPlace,award,language,website,almaMater,education,religion,nationality,ethnicity,agency,hasSibling,hasSpouse,hasParent,hasChild,works
12935,1094681,['黄建新'],['director'],['0399003'],[],[],[],[],[],[],['1985年-2021年'],[],"{'country': 'CHN', 'state': '陕西省', 'city': '西安市'}",{},[],[],[],[],['西北大学毕业'],[],"{'country': 'CHN', 'state': '甘肃省', 'city': '兰州市'}",[],[],[],[],[],[],[]
12936,1095347,['雅丝敏·阿莫'],['director'],[],[],[],[],[],[],[],[],[],"{'country': 'MYS', 'state': 'Johor', 'city': 'Muar'}","{'country': 'MYS', 'state': 'Wilayah Persekutuan', 'city': 'Kuala Lumpur'}",['不少奖'],[],[],[],[],[],{},[],[],[],['Tan Yew Leong'],[],[],[]
12937,1098118,['津川雅彦'],['director'],[],['加藤 雅彦'],[],[],['Tsugawa Masahiko'],[],[],['1945年-2018年'],[],"{'country': 'JPN', 'state': '京都府', 'city': '中京区'}","{'country': 'TWN', 'state': '台中市', 'city': '北區'}",['日刊Sports电影大奖'],['日语'],['津川雅彦官方网页'],[],[],[],{},[],['granpapa pro'],[],[],[],[],[]
12938,1098600,['陶尔·贝洛'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12939,1103960,['Template:提姆·波顿'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12940,1115854,['Template:姜文'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12941,1115867,['香特尔·阿克曼'],['director'],[],[],[],[],[],['《珍妮德尔曼》'],[],['196年-2015年'],[],"{'country': 'BEL', 'state': 'Brussel', 'city': 'Brussel'}","{'country': 'FRA', 'state': 'Île-de-France', 'city': 'Paris'}",[],[],[],[],[],[],{},[],[],[],[],[],[],['《珍妮德尔曼》']
12942,1116325,['道格拉斯·瑟克'],['director'],[],[],[],[],[],[],[],[],[],"{'country': 'DEU', 'state': 'Hamburg', 'city': 'Hamburg'}",{},[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12943,1119861,['黄明志'],['director'],['4671471'],[],['Namewee'],[],['Wee Meng Chee'],[],['《麻坡的华语》'],['2010年-2021年'],['2007年'],"{'country': 'MYS', 'state': 'Johor', 'city': 'Muar'}",{},['最佳新晋导演奖'],['华语、闽南语、粤语、琼语、英语、马来语 、印式英语'],[],[],['铭传大学国际学院大众传播系'],[],"{'country': 'CHN', 'state': '海南省', 'city': '琼海市'}",['马来西亚华裔'],['葡萄子娱乐（2010年－2015年） 量能文创（2015年－2018年）亚洲通文创（2018年－）坚持梦想文创（2018年-)他如何捧出拥有百万粉丝的小A辣？'],['黄明励'],[],"['黄安熙','王光芳']",[],['《麻坡的华语》']
12944,1125372,['莫康时'],['director'],['0610789'],[],[],[],['Mok Hong-See'],[],[],[],[],"{'country': 'CHN', 'state': '广西壮族自治区', 'city': '来宾市'}","{'country': 'CHN', 'state': '四川省', 'city': '甘孜藏族自治州'}",[],[],[],[],[],[],"{'country': 'CHN', 'state': '甘肃省', 'city': '兰州市'}",[],[],[],[],[],[],[]
12945,1126151,['戴维·理查德·埃利斯'],['director'],[],['标题'],[],[],[],[],[],['1978年-2013年'],[],"{'country': 'USA', 'state': 'California', 'city': 'Visalia'}","{'country': 'ZAF', 'state': 'Gauteng', 'city': 'Johannesburg'}",[],[],[],[],[],[],{},[],[],[],[],[],[],[]
12946,1126799,['皮特·多克特'],['director'],[],[],[],[],[],[],[],['1988年-2021年'],[],"{'country': 'USA', 'state': 'Minnesota', 'city': 'Brainerd'}",{},[],[],[],[],[],[],{},[],[],[],['阿曼达·多克特'],[],[],[]
12947,1129936,['韩三平'],['director'],['0359189'],[],[],[],[],[],[],['1985年-2014年'],[],"{'country': 'CHN', 'state': '江苏省', 'city': '南京市'}",{},[],[],[],[],[],[],{},[],['中国电影集团公司'],[],[],[],[],[]
12948,1129938,['何平'],['director'],['0372092'],[],[],[],[],[],[],['1985年-2021年'],[],"{'country': 'CHN', 'state': '山西省', 'city': '太原市'}",{},[],[],[],[],[],[],{},[],['中国电影集团公司'],[],[],[],[],[]
12949,1130576,['彼得·汉德克'],['director'],[],[],[],[],[],[],[],[],[],"{'country': 'AUT', 'state': 'Steiermark', 'city': 'Wörschach'}",{},"['国际易卜生奖', '卡夫卡奖', '格奥尔格·毕希纳奖', '诺贝尔文学奖']",[],[],[],[],[],"{'country': 'AUT', 'state': 'Steiermark', 'city': 'Wörschach'}",[],[],[],[],['玛丽亚·汉德克'],[],[]
12950,1134708,['当知项欠'],['director'],[],[],[],[],[],[],[],[],[],"{'country': 'CHN', 'state': '青海省', 'city': '海东市'}",{},['国际新闻自由奖'],[],[],[],[],[],"{'country': 'CHN', 'state': '青海省', 'city': '海东市'}",['藏族'],[],[],['拉姆措'],[],[],[]
12951,128864,['郭敬明'],['director'],[],[],[],[],[],"['《爱与痛的边缘》', '《夏至未至》', '《小时代》', '《悲伤逆流成河》', '《幻城》', '《临界·爵迹》']",[],[],[],"{'country': 'CHN', 'state': '四川省', 'city': '自贡市'}",{},[],[],[],['上海大学影视艺术技术学院'],['大学肄业'],[],"{'country': 'CHN', 'state': '甘肃省', 'city': '兰州市'}",[],[],[],[],[],[],"['《爱与痛的边缘》', '《夏至未至》', '《小时代》', '《悲伤逆流成河》', '《幻城》', '《临界·爵迹》']"
12952,1141560,['阿西亚·德耶巴'],['director'],[],[],[],[],[],[],[],[],[],{},{},[],[],[],[],[],[],"{'country': 'DZA', 'state': 'تمنراست', 'city': 'عين صالح'}",[],[],[],[],[],[],[]
12953,1153955,['郭在容'],['director'],[],[],['곽재용'],[],[],[],[],[],['1989年'],"{'country': 'KOR', 'state': '경기도', 'city': '수원시 장안구'}",{},[],['韩语'],[],[],['庆熙大学物理系学士'],[],{},[],[],[],[],[],[],[]
