name,IMDb,originalName,foreignName,nickname,romanPinyin,type,job,notableWork,debutWork,activeYear,debutDate,birthPlace,deathPlace,award,language,website,motherSchool,education,religion,nationality,ethnicity,agency,hasRelative,hasSpouse,hasParent,hasChild
['麦皓为'],['3301658'],[],['Mak Ho Wai'],[],[],['男演员'],['演员'],[],[],['1982-1994年（香港）1994-2007年（新加坡）'],[],[],[],[],[],[],[],['国立台湾海洋大学电子工程系北京师范大学汉语言文学硕士学位'],[],[],[],[],[],[],[],[]
['贾姬·威佛'],[],[],[],[],[],['女演员'],[],[],[],[],[],['澳洲新南威尔士州雪梨'],[],['最佳女主角1972年 《Stork》2010年 《生存法则》  最佳女配角1976年 《Caddie》  最佳国际女配角2013年 《派特的幸福剧本》'],[],[],[],[],[],[],[],[],[],[],"['亚瑟',' 伊迪丝']",[]
['Category:以色列电影演员'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['艾伦·艾克哈特'],[],[],[],[],[],['男演员'],['演员'],[],[],['1992年至今'],[],['加利福尼亚州库比蒂诺'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['梅莉莎·李欧'],[],[],[],[],[],['女演员'],[],[],[],['1984年至今'],[],['美国纽约州曼哈顿'],[],['金球奖'],[],[],[],[],[],[],[],[],[],[],[],[]
['珍·罗素'],[],[],[],[],[],['女演员'],[],[],[],[],[],[],[],[],[],[],[],['偶像大学'],[],[],[],[],[],['Bob Waterfield Roger Barrett John Calvin Peoples '],[],['Tracy WaterfieldTommy WaterfieldBuck Waterfield']
['蓓蒂·葛莱宝'],[],"['为伊丽沙白', '为伊丽沙白·路得·葛莱宝（{{lang|en|Elizabeth Ruth Grable}}）']",[],[],[],['女演员'],[],[],[],[],[],['密苏里州圣路易斯'],['加州洛杉矶'],[],[],[],[],[],[],[],[],[],[],[],[],['Victoria Elizabeth James Jessica James ']
['刘诺生'],[],['Jonathan Edward Laudon'],['John Laudon'],['土佬 Johnny'],[],['作曲家'],['牧师、唱片制作人、作曲家、填词人、编曲家、歌手、音乐总监、唱片监制'],['饿狼传说、爱念、忘记他、地球很危险、超错、In Love With You'],[],['1985年至今'],[],['艾德蒙顿'],[],[],['粤语、英语'],[],[],['中学'],['基督新教'],[],[],[],[],[],[],[]
['安妮·姬拉铎'],[],[],[],[],[],['女演员'],['演员'],[],[],['1954年–2008年'],[],['法国，巴黎'],['法国，巴黎'],[],[],[],[],[],[],[],[],[],[],['Renato Salvatori '],[],[]
['林熹瞳'],['4300340'],['陈晓华'],['Rachel Lam'],[],[],['女艺人'],['演员、编剧、主持人、歌手'],[],[],[],[],[],[],[],['粤语、英语、国语、潮州话'],[],[],['毕业于香港演艺学院'],[],['广东潮州'],[],['环球传奇影视文化有限公司'],[],[],[],[]
['尹承雅'],[],['尹爱里（）'],['윤승아'],[],['Yoon Seung-A'],['女演员'],['演员'],[],[],[],['2006年'],['光州广域市'],[],[],['韩语'],[],[],['朝鲜大学美术纤维学士'],[],[],[],['Prain TPC'],[],[],[],[]
['劳勃·雷恩'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['[[伊利诺伊州]][[芝加哥]]'],[],[],[],[],[],[]
['李曼'],['2210874'],[],"[' ', ' ']",[],['Li Man'],['女演员'],['演员'],[],['《满城尽带黄金甲》'],[],['2006年'],['辽宁省鞍山市'],[],[],['普通话'],['李曼官网'],[],['中央戏剧学院表演系(大专)'],[],[],['汉族'],['李曼影视工作室(海润影视集团)'],[],[],[],[]
['谢楠'],['4718691'],[],['Lola'],['楠楠、大宝'],['Xie Nan'],['女艺人'],['歌手、主持人、演员'],['《保持联络》、《说穿》《最好的我们》'],[],['2005年至今'],[],['安徽省合肥市'],[],[],['国语、英语、日语'],[],[],['安徽财经大学'],[],[],['汉族'],['光线传媒（2005年－）'],[],['谢楠'],[],[]
['白雪仙'],[],['陈淑良'],"[' ', ' ']",[],[],['女演员'],[],['见#电影作品'],[],[],[],['广东省广州市黄沙区'],[],['2001年 香港电影金像奖终身成就奖'],['粤语'],[],[],['敦梅学校岭英中学圣保禄中学'],[],['广东顺德'],[],[],[],[],['陈荣(白驹荣)、梁叶铨'],[]
['苏珊娜·比安凯蒂'],[],[],[],[],[],[],[],[],[],[],[],['法国巴黎'],['法国巴黎'],[],[],[],[],[],[],[],[],[],[],['勒内·贞德'],[],[]
['张紫妍'],['3316630'],[],['장자연'],[],['Jang Ja-yeon'],['女演员'],['演员'],[],[],['2006年－2009年'],['2006年'],['全罗北道井邑市'],['京畿道城南市盆唐区'],[],['韩语、英语'],[],[],['朝鲜大学大学院硕士\n研究生'],[],[],[],[],[],[],[],[]
['中村友理'],['1157364'],[],[' '],[],[],['女演员'],[],[],[],['1998年至今'],[],['大阪府寝屋川市'],[],['颁发最佳新人奖'],['日语'],[],[],[],[],['日朝鲜人]]，其母亲亦'],[],[],[],[],[],[]
['李文标'],[],['李文彪'],['Carson Lee'],[],['Lee Man Bill'],['男演员'],['演员'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['胡樱汶'],[],[]
